"Title","ChordProgression"
"9.20 Special","D9|Fm6|D9|Fm6|C|C7,B7,Bb7,A7|D9|G7,C6"
"Ain't She Sweet","Eb6,E07|Fm7,B7|Eb6,E07|Fm7,Bb7|Eb6,G7|C7|F7,Bb7|Eb6"
"Airegin","Fm|C7b5#9|Fm|F7|Bbm|F7b5#9|Bbm|Bbm"
"Airegin","Fm|C7b5#9|Fm|F7|Bbm|F7b5#9|Bbm|Bbm"
"Airmail Special","C6,Am7|Dm7,G7|Em7,A7|Dm7,G7|C,C7/E|F,F#07|C/G|C"
"Airmail Special","C6,Am7|Dm7,G7|Em7,A7|Dm7,G7|C,C7|F,F#07|C/G|C"
"Aisha","Am9|Gm9|Am9|Fm9|Fm7,Bb7|Gm7,C7|Am7,D7b9|G7,C7,Fm,E7"
"Alexander's Ragtime Band","F6|F6|G7,C7|F6|Bb6|Bb6|Bb6|Bb6"
"Alexander's Ragtime Band","F6|F6|G7,C7|F6|Bb6|Bb6|Bb6|Bb6"
"Alfie","Bbmaj7|F7sus|Bbmaj7|Dm7,G7|Cm7|Dm7,Gm7|Cm7,F7sus|Bb07"
"Alfie's Theme","Bbm7,Bbm7/Ab|Gm7b5,Gbmaj7|Bbm7/F,Gm7b5|Cm7b5,F7b9|Bbm7,Bbm7/Ab|Gm7b5,E07|Bbm7/F,Gm7b5|Cm7b5,F7,Bbm7,"
"Alfie's Theme","Bbm7,Bbm7/Ab|Gm7b5,Gbmaj7|Bbm7/F,Gm7b5|Cm7b5,F7b9|Bbm7,Bbm7/Ab|Gm7b5,E07|Bbm7/F,Gm7b5|Cm7b5,F7,Bbm7,"
"All By Myself","Cmaj7|Cmaj7|D7|D7|G7|G7|Em7,A7|Dm7,G7"
"All By Myself","Cmaj7|Cmaj7|D7|D7|G7|G7|E7|E7"
"All God's Chillun Got Rhythm","Fmaj7,Dm7|Gm7,C7|Am7,D7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Am7b5|D7b9"
"All God's Chillun Got Rhythm","Fmaj7,Dm7|Gm7,C7|Am7,D7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Am7b5|D7b9"
"All My Tomorrows","Am7|Am7b5,D7b9|Bm7|Bb07(Bbm7),(Eb7)|Am7|Bm7,E7b9|Am7,D7b9|Bm7,E7b9"
"All My Tomorrows","Am7|Cm6,F7|Bm7|Bb07(Bbm7),(Eb7)|Am7|Bm7,E7b9|Am7,D7b9|Dm7,G7"
"All Of Me","Cmaj7|Cmaj7|E7|E7|A7|A7|Dm7|Dm7"
"All Of Me","Cmaj7|Cmaj7|E7|E7|A7|A7|Dm7|Dm7"
"All Of You","Abm6|Ebmaj7|Fm7b5|Bb7|Abm6|Ebmaj7|Fm7b5|Bb7"
"All Of You","Abm6|Ebmaj7|Fm7b5|Bb7|Abm6|Ebmaj7|Gm7|C7"
"All Through The Day","Fmaj7|Gm7,C7|Fmaj7|Gm7,C7|Fmaj7|G7|Gm7|C7"
"All Through The Night","Fmaj7|Em7b5,A7b9|Dm7,Db7|Cm7,F7b9|Bbmaj7|Bbm7,Eb7b9|Abmaj7|Abmaj7"
"All Too Soon","Cmaj7,Am7|Dm7,G7|Cmaj7,C7|Fmaj7,Bb7|Em7,A7#9|Dm7,G7|C6,Am7|Dm7,G7"
"Alone Together","Dm6|Em7b5,A7b9|Dm6|Em7b5,A7b9|Dm6,Bm7b5|Bb7,A7b9|Dm6|Em7b5,A7b9"
"Alone Too Long","G6|G6,G#07|Am7,D7|Am7,D7|Am7|D7|G6,Em7|Am7,D7"
"Always And Forever","Am9,,Dm7,Em7|Fmaj7,,G9,E7/G#|Am9,Abmaj7|Cmaj9/G,F#m7b5|Fmaj7,Eb69|D9,G7sus|Cmaj7|Fm6/G,E/G#"
"Among My Souvenirs","Ebmaj7,C7b9|Fm7,Bb7|Fm7,Bb7|Ebmaj7,Ab7|Gm7,Gb7|Fm7|Bb7|Eb6"
"Angel Eyes","Cm,,D7,Db7(G7)|Cm,Ab7|Cm,Am7b5|Dm7b5,G7b9|Cm,,D7,Db7(G7)|Cm,A7alt|Ab7,G7b9|Cm,,(Dm7b5),(G7)"
"Angel Eyes","Cm,,D7,Db7(G7)|Cm,Ab7|Cm,Am7b5|Dm7b5,G7b9|Cm,,D7,Db7(G7)|Cm,A7alt|Ab7,G7b9|Cm,,(Dm7b5),(G7)"
"Anthropology","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6"
"April In Paris","G7b9sus|Cmaj7|Dm7b5|G7b9|Cmaj7|Cmaj7|Gm7|C7"
"Aren't You Glad You're You","Fmaj7,Fmaj7/A|Bb6,B07|C7|F6|C7|F6,D7|G7|C,C7"
"Aren't You Glad You're You","Fmaj7,Fmaj7/A|Bb6,B07|Amaj7,E7|Amaj7|Bm7,E7|Amaj7,F#m7|Bm7,E7|Amaj7,C7"
"Aren't You Glad You're You","Fmaj7,Fmaj7/A|Bb6,B07|C7|F6|C7|F6,D7|Gm7,C7|F6"
"Armando's Rhumba","Cm7|D7b9|G7b13|Cm7|Cm7|D7b9|G7b13|Cm7"
"As Long As I Live","Fmaj7|Em7b5,A7b9|D7|D7|G7|Gm7,C7|Fmaj7,Bb7|F6,C7"
"As Time Goes By","Fm7,Bb7|Fm7(Bbm6),Bb7|Ebmaj7,Bb7#5(Fm7)|Ebmaj7(Gm7),(C7)|F7,F#07|Gm7,C7b9|Fm7,Bb7|Eb6,C7b9"
"Ask Me Now","Gm7,C7,F#m7,B7|Fm7,Bb7,Em7,A7|Ebm7,Ab7#5|B7#11,Bb7|Eb7,D7|Dbmaj7,Eb7|Ebm7,Ab7#5|Dbmaj7"
"At Last","C6,Am7|Dm7,G7b13|Cmaj7,Am7|Dm7,G7#9|Em7,A7|Dm7,G7|C6,Am7|Dm7,G7"
"Autumn In New York","Gm7,Am7|Bb6,C7|Fmaj7,Gm7|Am7,D7b9|Gm7,Am7|Bb6,C7|Am7b5|D7b9"
"Autumn Leaves","Cm7|F7|Bbmaj7|Ebmaj7|Am7b5|D7b13|Gm6|Gm6"
"Ballad For Very Tired And Very Sad Lotus Eaters","Bbm7b9,Eb13b9|Ab07,Abmaj7|Bbm7,Eb13|Ebm7,Ab7b9|Dbmaj7|Bb9,E7|Bbm7,Eb7sus|Ab69,Eb7sus"
"Ballade","Fmaj7|Em7b5,A7b9|D7|D7|G7|Gm7,C7|Fmaj7,Dm7|Gm7,C7"
"Ballade","Fmaj7(Am7)|Em7b5,A7b9|D7|D7|G7|Gm7,C7|F6|F6"
