"Title","ChordProgression","Key","RomanNumeralProgression","Mode"
"A Time For Love","Fmaj7|Eb7/F|F6|G7|Gm7|Gm7/F|Em7,A7|Em7b5/A,A7b9","C","IVmaj7|#II/♭III7/IV|IV6|V7|Vm7|Vm7/IV|IIIm7,VI7|IIIm7b5/VI,VI7b9","major"
"A Tisket A Tasket","Ebmaj7|Ebmaj7|Ebmaj7,Abmaj7|Gm7,C7|Fm7|Bb7|Fm7,Bb7|Ebmaj7","Ab","Vmaj7|Vmaj7|Vmaj7,Imaj7|VIIm7,III7|VIm7|II7|VIm7,II7|Vmaj7","major"
"A Weaver Of Dreams","Cmaj7|Cmaj7|Bm7b5|E7b9|Am7|Am7|Gm7|C7","C","Imaj7|Imaj7|VIIm7b5|III7b9|VIm7|VIm7|Vm7|I7","major"
"Ablution","Fm7|Bbm7|Eb7|Abmaj7|Dbmaj7|G7|Cmaj7|Cmaj7","Ab","VIm7|IIm7|V7|Imaj7|IVmaj7|VII7|IIImaj7|IIImaj7","major"
"Ac-Cent-Tchu-Ate The Positive","F,Faug|F6,Fmaj7|Gm7|C7|F,Faug|F6,Fmaj7|Gm7,C7|F6,C7","F","I,Iaug|I6,Imaj7|IIm7|V7|I,Iaug|I6,Imaj7|IIm7,V7|I6,V7","major"
"Across The Alley From The Alamo","Fmaj7|Fmaj7|Fmaj7|Fmaj7|C7|C7|Gm7,C7|Fmaj7","F","Imaj7|Imaj7|Imaj7|Imaj7|V7|V7|IIm7,V7|Imaj7","major"
"African Queen, The","Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9","C-","Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9","minor"
"After You've Gone","Ebmaj7|Ebmaj7|Ebm6|Ab7|Bbmaj7|Bbmaj7|Dm7|G7","C-","#II/♭IIImaj7|#II/♭IIImaj7|#II/♭IIIm6|#V/♭VI7|#VI/♭VIImaj7|#VI/♭VIImaj7|IIm7|V7","minor"
"Afternoon In Paris","Cmaj7|Cm7,F7|Bbmaj7|Bbm7,Eb7|Abmaj7|Dm7,G7#9|Cmaj7|Dm7,G7","C-","Imaj7|Im7,IV7|#VI/♭VIImaj7|#VI/♭VIIm7,#II/♭III7|#V/♭VImaj7|IIm7,V7#9|Imaj7|IIm7,V7","minor"
"Ain't Misbehavin'","C6,A7|Dm7,G7|C6,C7/E|F6,Fm6|C6/E,A7|Dm7,G7|C6,Am7|Dm7,G7","C","I6,VI7|IIm7,V7|I6,I7/III|IV6,IVm6|I6/III,VI7|IIm7,V7|I6,VIm7|IIm7,V7","major"
"Ain't She Sweet","Eb6,E07|Fm7,B7|Eb6,E07|Fm7,Bb7|Eb6,G7|C7|F7,Bb7|Eb6","Eb","I6,#I/♭II07|IIm7,#V/♭VI7|I6,#I/♭II07|IIm7,V7|I6,III7|VI7|II7,V7|I6","major"
"Airegin","Fm|C7b5#9|Fm|F7|Bbm|F7b5#9|Bbm|Bbm","F-","Im|V7b5#9|Im|I7|IVm|I7b5#9|IVm|IVm","minor"
"Airmail Special","C6,Am7|Dm7,G7|Em7,A7|Dm7,G7|C,C7/E|F,F#07|C/G|C","C","I6,VIm7|IIm7,V7|IIIm7,VI7|IIm7,V7|I,I7/III|IV,#IV/♭V07|I/V|I","major"
"Aisha","Am9|Gm9|Am9|Fm9|Fm7,Bb7|Gm7,C7|Am7,D7b9|G7,C7,Fm,E7","A-","Im9|#VI/♭VIIm9|Im9|#V/♭VIm9|#V/♭VIm7,#I/♭II7|#VI/♭VIIm7,#II/♭III7|Im7,IV7b9|#VI/♭VII7,#II/♭III7,#V/♭VIm,V7","minor"
"Alexander's Ragtime Band","F6|F6|G7,C7|F6|Bb6|Bb6|Bb6|Bb6","F","I6|I6|II7,V7|I6|IV6|IV6|IV6|IV6","major"
"Alfie","Bbmaj7|F7sus|Bbmaj7|Dm7,G7|Cm7|Dm7,Gm7|Cm7,F7sus|Bb07","Bb","Imaj7|V7sus|Imaj7|IIIm7,VI7|IIm7|IIIm7,VIm7|IIm7,V7sus|I07","major"
"Alfie's Theme","Bbm7,Bbm7/Ab|Gm7b5,Gbmaj7|Bbm7/F,Gm7b5|Cm7b5,F7b9|Bbm7,Bbm7/Ab|Gm7b5,E07|Bbm7/F,Gm7b5|Cm7b5,F7,Bbm7","Bb-","Im7,Im7/#VI/♭VII|VIm7b5,#V/♭VImaj7|Im7/V,VIm7b5|IIm7b5,V7b9|Im7,Im7/#VI/♭VII|VIm7b5,#IV/♭V07|Im7/V,VIm7b5|IIm7b5,V7,Im7","minor"
"All By Myself","Cmaj7|Cmaj7|D7|D7|G7|G7|Em7,A7|Dm7,G7","C","Imaj7|Imaj7|II7|II7|V7|V7|IIIm7,VI7|IIm7,V7","major"
"All God's Chillun Got Rhythm","Fmaj7,Dm7|Gm7,C7|Am7,D7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Am7b5|D7b9","F","Imaj7,VIm7|IIm7,V7|IIIm7,VI7|IIm7,V7|Imaj7,VIm7|IIm7,V7|IIIm7b5|VI7b9","major"
"All My Tomorrows","Am7|Am7b5,D7b9|Bm7|Bb07(Bbm7)(Eb7)|Am7|Bm7,E7b9|Am7,D7b9|Bm7,E7b9","A-","Im7|Im7b5,IV7b9|IIm7|#I/♭II07(#I/♭IIm7)|Im7|IIm7,V7b9|Im7,IV7b9|IIm7,V7b9","minor"
"All Of Me","Cmaj7|Cmaj7|E7|E7|A7|A7|Dm7|Dm7","C","Imaj7|Imaj7|III7|III7|VI7|VI7|IIm7|IIm7","major"
"All Through The Day","Fmaj7|Gm7,C7|Fmaj7|Gm7,C7|Fmaj7|G7|Gm7|C7","F","Imaj7|IIm7,V7|Imaj7|IIm7,V7|Imaj7|II7|IIm7|V7","major"
"All Through The Night","Fmaj7|Em7b5,A7b9|Dm7,Db7|Cm7,F7b9|Bbmaj7|Bbm7,Eb7b9|Abmaj7|Abmaj7","Ab","VImaj7|#V/♭VIm7b5,#I/♭II7b9|#IV/♭Vm7,IV7|IIIm7,VI7b9|IImaj7|IIm7,V7b9|Imaj7|Imaj7","major"
"All Too Soon","Cmaj7,Am7|Dm7,G7|Cmaj7,C7|Fmaj7,Bb7|Em7,A7#9|Dm7,G7|C6,Am7|Dm7,G7","C","Imaj7,VIm7|IIm7,V7|Imaj7,I7|IVmaj7,#VI/♭VII7|IIIm7,VI7#9|IIm7,V7|I6,VIm7|IIm7,V7","major"
"Alone Together","Dm6|Em7b5,A7b9|Dm6|Em7b5,A7b9|Dm6,Bm7b5|Bb7,A7b9|Dm6|Em7b5,A7b9","D-","Im6|IIm7b5,V7b9|Im6|IIm7b5,V7b9|Im6,VIm7b5|#V/♭VI7,V7b9|Im6|IIm7b5,V7b9","minor"
"Alone Too Long","G6|G6,G#07|Am7,D7|Am7,D7|Am7|D7|G6,Em7|Am7,D7","G","I6|I6,#I/♭II07|IIm7,V7|IIm7,V7|IIm7|V7|I6,VIm7|IIm7,V7","major"
"Always And Forever","Am9,Dm7,Em7|Fmaj7,G9,E7/G#|Am9,Abmaj7|Cmaj9/G,F#m7b5|Fmaj7,Eb69|D9,G7sus|Cmaj7|Fm6/G,E/G#","F","IIIm9,VIm7,VIIm7|Imaj7,II9,VII7/#II/♭III|IIIm9,#II/♭IIImaj7|Vmaj9/II,#I/♭IIm7b5|Imaj7,#VI/♭VII69|VI9,II7sus|Vmaj7|Im6/II,VII/#II/♭III","major"
"Among My Souvenirs","Ebmaj7,C7b9|Fm7,Bb7|Fm7,Bb7|Ebmaj7,Ab7|Gm7,Gb7|Fm7|Bb7|Eb6","Eb","Imaj7,VI7b9|IIm7,V7|IIm7,V7|Imaj7,IV7|IIIm7,#II/♭III7|IIm7|V7|I6","major"
"Angel Eyes","Cm,D7,Db7(G7)|Cm,Ab7|Cm,Am7b5|Dm7b5,G7b9|Cm,D7,Db7(G7)|Cm,A7alt|Ab7,G7b9|Cm(Dm7b5)(G7)","C-","Im,II7,#I/♭II7(V7)|Im,#V/♭VI7|Im,VIm7b5|IIm7b5,V7b9|Im,II7,#I/♭II7(V7)|Im,VI7alt|#V/♭VI7,V7b9|Im(IIm7b5)","minor"
"Anthropology","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6","Bb","Imaj7,VI7|IIm7,V7|IIIm7,VI7|IIm7,V7|Vm7,I7|IV7,#VI/♭VII7|IIm7,V7|I6","major"
"Aren't You Glad You're You","Fmaj7,Fmaj7/A|Bb6,B07|C7|F6|C7|F6,D7|G7|C,C7","F","Imaj7,Imaj7/III|IV6,#IV/♭V07|V7|I6|V7|I6,VI7|II7|V,V7","major"
"Armando's Rhumba","Cm7|D7b9|G7b13|Cm7|Cm7|D7b9|G7b13|Cm7","C-","Im7|II7b9|V7b13|Im7|Im7|II7b9|V7b13|Im7","minor"
"As Long As I Live","Fmaj7|Em7b5,A7b9|D7|D7|G7|Gm7,C7|Fmaj7,Bb7|F6,C7","F","Imaj7|VIIm7b5,III7b9|VI7|VI7|II7|IIm7,V7|Imaj7,IV7|I6,V7","major"
"At Last","C6,Am7|Dm7,G7b13|Cmaj7,Am7|Dm7,G7#9|Em7,A7|Dm7,G7|C6,Am7|Dm7,G7","C","I6,VIm7|IIm7,V7b13|Imaj7,VIm7|IIm7,V7#9|IIIm7,VI7|IIm7,V7|I6,VIm7|IIm7,V7","major"
"Autumn In New York","Gm7,Am7|Bb6,C7|Fmaj7,Gm7|Am7,D7b9|Gm7,Am7|Bb6,C7|Am7b5|D7b9","G-","Im7,IIm7|#II/♭III6,IV7|#VI/♭VIImaj7,Im7|IIm7,V7b9|Im7,IIm7|#II/♭III6,IV7|IIm7b5|V7b9","minor"
"Autumn Leaves","Cm7|F7|Bbmaj7|Ebmaj7|Am7b5|D7b13|Gm6|Gm6","Bb","IIm7|V7|Imaj7|IVmaj7|VIIm7b5|III7b13|VIm6|VIm6","major"
"Ballade","Fmaj7|Em7b5,A7b9|D7|D7|G7|Gm7,C7|Fmaj7,Dm7|Gm7,C7","F","Imaj7|VIIm7b5,III7b9|VI7|VI7|II7|IIm7,V7|Imaj7,VIm7|IIm7,V7","major"
"Bark For Barksdale","F|F|Gm7|C7|F|Bb7|G7,C7|F","F","I|I|IIm7|V7|I|IV7|II7,V7|I","major"
"Basin Street Blues","Bb,Cm7,C#0,Bb/D|Bb,Cm7,C#0,Bb/D|Bb/D,Dbm7,Cm7,F7|Bb/D,Dbm7,Cm7,F7|Bb,Bb7/Ab|Eb6/G,Ebm6/Gb|Bb/F|F7","Bb","I,IIm7,#II/♭III0,I/III|I,IIm7,#II/♭III0,I/III|I/III,#II/♭IIIm7,IIm7,V7|I/III,#II/♭IIIm7,IIm7,V7|I,I7/#VI/♭VII|IV6/VI,IVm6/#V/♭VI|I/V|V7","major"
"Bein' Green","Bbmaj7|A7#5|Dm7b5/Ab|G7sus,G7b9|Cm7|F7sus,F7|Bb6|Cm7,F7","Bb","Imaj7|VII7#5|IIIm7b5/#VI/♭VII|VI7sus,VI7b9|IIm7|V7sus,V7|I6|IIm7,V7","major"
"Bernie's Tune","Dm7|Dm7|Bb7#11|Bb7#11|Em7b5|A7b9|Dm7|Dm7(Em7b5)(A7b9)","D-","Im7|Im7|#V/♭VI7#11|#V/♭VI7#11|IIm7b5|V7b9|Im7|Im7(IIm7b5)","minor"
"Bess You Is My Woman","Bb6,Gm7|Cm7,F7#9|Bbmaj7,Bb7|Ebmaj7,Ab7|Gm7,Gm7/F|Em7b5,Eb7|Dm7,Ab7|Dbmaj7,F7","Bb","I6,VIm7|IIm7,V7#9|Imaj7,I7|IVmaj7,#VI/♭VII7|VIm7,VIm7/V|#IV/♭Vm7b5,IV7|IIIm7,#VI/♭VII7|#II/♭IIImaj7,V7","major"
"Best Is Yet To Come (Page 2), The","Amaj7,A7|A6,Aaug,A|F#7|F#7|B7|E7|A6|A6","A","Imaj7,I7|I6,Iaug,I|VI7|VI7|II7|V7|I6|I6","major"
"Between The Devil And The Deep Blue Sea","Fmaj7|Gm7,C7|Fmaj7|Gm7,C7|Cm7,F7|Bbmaj7,Eb7|Gm7,C7|F6,C7","F","Imaj7|IIm7,V7|Imaj7|IIm7,V7|Vm7,I7|IVmaj7,#VI/♭VII7|IIm7,V7|I6,V7","major"
"Bewitched","Cmaj7,Am7(C#07)|Dm7,G7|Cmaj7(Cmaj7/E),C7#5(E7#5)|Fmaj7,F#07(Bb7#11)|C6/G(C6),Am7(Eb07)|Dm7,G7|C6,Am7|Dm7,G7","C","Imaj7,VIm7(#I/♭II07)|IIm7,V7|Imaj7(Cmaj7/III,I7#5(III7#5)|IVmaj7,#IV/♭V07(#VI/♭VII7#11)|I6/V,VIm7(#II/♭III07)|IIm7,V7|I6,VIm7|IIm7,V7","major"
"Bidin' My Time","Ebmaj7,C7b13|Fm7,Bb7|Ebmaj7,C7b13|Fm7,Bb7|Eb6,C7|Fm7,Abm7|Ebmaj7/Bb,Fm7,Bb7|Eb6","Eb","Imaj7,VI7b13|IIm7,V7|Imaj7,VI7b13|IIm7,V7|I6,VI7|IIm7,IVm7|Imaj7/V,IIm7,V7|I6","major"
"Bill Bailey, Won't You Please Come Home","G|G|G|G|G|G,Ab07|Am7|D7","G","I|I|I|I|I|I,#I/♭II07|IIm7|V7","major"
"Birth Of The Blues, The","Cmaj7,C#07|Dm7,G7|Cmaj7,E7|Fmaj7,F#07|G7|Dm7,G7|C6,Eb07|Dm7,G7","C","Imaj7,#I/♭II07|IIm7,V7|Imaj7,III7|IVmaj7,#IV/♭V07|V7|IIm7,V7|I6,#II/♭III07|IIm7,V7","major"
"Black And Blue","Am7|Dm7|Am7|D7,Db7|C6,A7|Dm7,G7|C6,F7|C6(Bm7b5)(E7)","A-","Im7|IVm7|Im7|IV7,III7|#II/♭III6,I7|IVm7,#VI/♭VII7|#II/♭III6,#V/♭VI7|#II/♭III6(IIm7b5)","minor"
"Blackberry Winter","Fmaj7,Am7|Dm7,Gm7,C7|Fmaj7,Gm7|Am7,Bbmaj7|Am7,Dm7|Gm7,C7|F6|Gm7,C7","F","Imaj7,IIIm7|VIm7,IIm7,V7|Imaj7,IIm7|IIIm7,IVmaj7|IIIm7,VIm7|IIm7,V7|I6|IIm7,V7","major"
"Blame It On My Youth","Ebmaj7,Fm7|Gm7,Cm7|Fm7,E07|Fm7,Bb7|Fm7,E07|Fm7,Bb7|Gm7,Fm7,Bb7|Ebmaj7,Eb7","Eb","Imaj7,IIm7|IIIm7,VIm7|IIm7,#I/♭II07|IIm7,V7|IIm7,#I/♭II07|IIm7,V7|IIIm7,IIm7,V7|Imaj7,I7","major"
"Blue Champagne","F6,Ab07|Gm7,C7|F6,Dm7|Db7,C7|Fmaj7,Ab07|Gm7,C7|F6|Gm7,C7","F","I6,#II/♭III07|IIm7,V7|I6,VIm7|#V/♭VI7,V7|Imaj7,#II/♭III07|IIm7,V7|I6|IIm7,V7","major"
"Blue Lou","Cm7b5|F7|Cm7b5|F7|Bbmaj7|Ebmaj7|C7,F7|Bbmaj7","Bb","IIm7b5|V7|IIm7b5|V7|Imaj7|IVmaj7|II7,V7|Imaj7","major"
"Blue Moon","Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|Eb6,A7#11|Abm7,Db7|Gbmaj7|Bb/F,F7|Fm7,Bb7","Eb","IIm7,V7|I6,VIm7|IIm7,V7|I6,#IV/♭V7#11|IVm7,#VI/♭VII7|#II/♭IIImaj7|V/II,II7|IIm7,V7","major"
"Blue Skies","Am|Am/maj7/G#|Am7/G|Am6/F#|Cmaj7,A7|Dm7,G7|C6|Bm7b5,E7b9","A-","Im|Am/maj7/G#|Im7/#VI/♭VII|Im6/VI|#II/♭IIImaj7,I7|IVm7,#VI/♭VII7|#II/♭III6|IIm7b5,V7b9","minor"
"Blueberry Hill","Ab|Ab|Eb|Eb|Bb7|Bb7|Eb,Db7|Eb(Eb7)","Bb","#VI/♭VII|#VI/♭VII|IV|IV|I7|I7|IV,#II/♭III7|IV(IV7)","major"
"Bohemia After Dark","Gm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7|Gm7","G-","Im7|IIm7b5,V7b9|Im7|IIm7b5,V7b9|Im7|IIm7b5,V7b9|Im7|Im7","minor"
"Bourbon Street Parade","Ab|Ab|Ab|Ab|Ab|Ab|Eb7|Eb7","Ab","I|I|I|I|I|I|V7|V7","major"
"Broadway","Bbmaj7|Bbmaj7|Eb7|Eb7|Cm7|F7|Bb6|Bb6","Bb","Imaj7|Imaj7|IV7|IV7|IIm7|V7|I6|I6","major"
"Brother Can You Spare A Dime","Cm,Cm/Eb|G7/D,C7/E|F7,Bb7|Ebmaj7,A7#11|Ab6,G7|Cm,Bbm7,Eb7|Ab7,G7|Cm","C-","Im,Im/#II/♭III|V7/II,I7/III|IV7,#VI/♭VII7|#II/♭IIImaj7,VI7#11|#V/♭VI6,V7|Im,#VI/♭VIIm7,#II/♭III7|#V/♭VI7,V7|Im","minor"
"Budo","Abmaj7(G7)|Cm7,F7(C7)(F7)|Bbm7,Eb7|Abmaj7,Ab7#5|Db7,D07|Cm7b5/Eb,F7|Bbm7,Eb7|Abmaj7","Ab","Imaj7(VII7)|IIIm7,VI7(III7)|IIm7,V7|Imaj7,I7#5|IV7,#IV/♭V07|IIIm7b5/V,VI7|IIm7,V7|Imaj7","major"
"Can't Help Lovin' Dat Man","Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Bbm7,Eb7|Ab6,Db7|Gm7,Cm7|B7,Bb7|Eb6|Fm7,Bb7","Eb","Imaj7,VIm7|IIm7,V7|Imaj7,Vm7,I7|IV6,#VI/♭VII7|IIIm7,VIm7|#V/♭VI7,V7|I6|IIm7,V7","major"
"Catch Me","Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|A7#9,Dm7","D-","Im7|Im7|Im7|Im7|Im7|Im7|Im7|V7#9,Im7","minor"
"Celia","Bbmaj7|Cm7b5|Dm7|Ebm7,Ab7|Dm7,Dbm7|Cm7,B7|Bbmaj7|Bbmaj7","Bb","Imaj7|IIm7b5|IIIm7|IVm7,#VI/♭VII7|IIIm7,#II/♭IIIm7|IIm7,#I/♭II7|Imaj7|Imaj7","major"
"Charleston","Bb|D7|G7|G7|C7|F7|Bb,Db07|Cm7,F7","Bb","I|III7|VI7|VI7|II7|V7|I,#II/♭III07|IIm7,V7","major"
"Chicago","Cmaj7,Dm7|Em7,A7|D7|D7,A7b9|Dm7,G7|Dm7,G7|Bb7,A7|Ab7,G7","C","Imaj7,IIm7|IIIm7,VI7|II7|II7,VI7b9|IIm7,V7|IIm7,V7|#VI/♭VII7,VI7|#V/♭VI7,V7","major"
"Come Sunday","F7|Eb7#11|F7,Gb7|G7|Cm7|F7|Bb,Eb6/Bb|Bb07,Bb6","Bb","V7|IV7#11|V7,#V/♭VI7|VI7|IIm7|V7|I,IV6/I|I07,I6","major"
"Con Alma","Emaj7,G#7/D#|C#m7,B7|Bb7|Ebmaj7,Ebm7,Ab7|Dbmaj7,F7/C|Bbm7,Ab7|G7|Cmaj7","E","Imaj7,III7/VII|VIm7,V7|#IV/♭V7|VIImaj7,VIIm7,III7|VImaj7,#I/♭II7/#V/♭VI|#IV/♭Vm7,III7|#II/♭III7|#V/♭VImaj7","major"
"Confirmation","Cm7|F7|Bbmaj7|Bbmaj7|Ebm7|Ab7|Dbmaj7|Gm7,C7alt","Bb","IIm7|V7|Imaj7|Imaj7|IVm7|#VI/♭VII7|#II/♭IIImaj7|VIm7,II7alt","major"
"Copenhagen","Ebmaj7|Ebm6|Bb|G7|C7|F7|Bb|Bb,Bb7","Eb","Imaj7|Im6|V|III7|VI7|II7|V|V,V7","major"
"Corcovado","D7/A|D7/A|Ab07|Ab07|Gm7|C7|F07,Fmaj7|Fmaj7","F","VI7/III|VI7/III|#II/♭III07|#II/♭III07|IIm7|V7|I07,Imaj7|Imaj7","major"
"Cotton Tail","Bb6,Gm7|Cm7,F7|Dm7,G7|Cm7,F7|Bb6,Bb7/D|Eb6,E07|Bb6/F,Gm7|F7,Bb6","Bb","I6,VIm7|IIm7,V7|IIIm7,VI7|IIm7,V7|I6,I7/III|IV6,#IV/♭V07|I6/V,VIm7|V7,I6","major"
"Cry Me A River","Cm,Cmb6|Cm6,Cm7|Fm7,Bb7|Ebmaj7,G7b9|Gm7b5,C7b9|F9|Fm7,Bb7sus|Eb6,G7b13","C-","Im,Imb6|Im6,Im7|IVm7,#VI/♭VII7|#II/♭IIImaj7,V7b9|Vm7b5,I7b9|IV9|IVm7,#VI/♭VII7sus|#II/♭III6,V7b13","minor"
"Daahoud","Ebm7,Ab7|Dbm7,Gb7|Bmaj7|Fm7,Bb7|Ebm7(Abm7)(Gb6)|B7(F7),Bb7(Emaj7)|Ebmaj7|Ebmaj7","Eb","Im7,IV7|#VI/♭VIIm7,#II/♭III7|#V/♭VImaj7|IIm7,V7|Im7(IVm7)|#V/♭VI7(II7),V7(#I/♭IImaj7)|Imaj7|Imaj7","major"
"Dancing On The Ceiling","Fmaj7|Cm7,F7|Bb6,B07|Fmaj7/C,D7|Gm7|C7|F6|Gm7,C7","F","Imaj7|Vm7,I7|IV6,#IV/♭V07|Imaj7/V,VI7|IIm7|V7|I6|IIm7,V7","major"
"Darn That Dream","G6,Bbm7,Eb7|Am7,B7#11|Em,Em/D,A7/C#,Cm7|Bm7b5,E7|Am7,F7|Bm7,Bbm7|Am7,D7|G6,Am7,D7","G","I6,#II/♭IIIm7,#V/♭VI7|IIm7,III7#11|VIm,VIm/V,II7/#IV/♭V,IVm7|IIIm7b5,VI7|IIm7,#VI/♭VII7|IIIm7,#II/♭IIIm7|IIm7,V7|I6,IIm7,V7","major"
