"Title","ChordProgression","Key","RomanNumeralProgression"
"Budo","Abmaj7,(G7)|Cm7,,F7(C7),(F7)|Bbm7,Eb7|Abmaj7,Ab7#5|Db7,D07|Cm7b5/Eb,F7|Bbm7,Eb7|Abmaj7","Ab","Imaj7,NANA(NANA)|IIIm7,NANA,VI7(III7),NANA(NANA)|IIm7,V7|Imaj7,I7#5|IV7,#IV/♭V07|IIIm7b5/V,VI7|IIm7,V7|Imaj7"
"Bunko","Fmaj7,F#07|Gm7,C7b9|Am7,D7#9|Gm7,C7|F6,F7/A|Bbmaj7,B07|F6/C,,G7,C7|F6",NA,""
"But Beautiful","Gmaj7,(C7)|Bm7b5,E7b9|Am7|C#m7b5,F#7b9|Gmaj7,(C7)|Bm7b5,E7b9|A7|A7",NA,""
"But Not For Me","F7(Ebmaj7),(Cm7)|Bb7(Fm7),(Bb7)|Ebmaj7,Ab7|Gm7,C7|F7|Bb7|Ebmaj7|Bbm7,Eb7",NA,""
"Bye Bye Blues","C|C|Ab7|Ab7|C|C|A7|A7",NA,""
"Bye-Ya","Db7|Ab6|Db7|Ab6|Gb7#11|Ab6|E7,B7#11|Db6,D6,Eb6,",NA,""
"C.T.A.","D7#9|D7#9|G7|G7|C7#9|C7#9|F7|F7",NA,""
"Cabin in the Sky","Gmaj7,G#07|Am7,Bb07|Bm7b5|Bb9#11|Am,Am/maj7|Am7,Ab7|G6|G6",NA,""
"Call Me Irresponsible","F,F6|F#07|Gm7,Gm6|G#07|Fmaj7/A|A7b13|D7b13|D7b13",NA,""
"Can't Help Lovin' Dat Man","Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,,Bbm7,Eb7|Ab6,Db7|Gm7,Cm7|B7,Bb7|Eb6|Fm7,Bb7","Eb","Imaj7,VIm7|IIm7,V7|Imaj7,NANA,Vm7,I7|IV6,#VI/♭VII7|IIIm7,VIm7|#V/♭VI7,V7|I6|IIm7,V7"
"Can't We Be Friends","F7|Bb7|Ebmaj7,B7|Cm7,,Gm,Gbm|Fm7|Bb7|Ebmaj7|E07",NA,""
"Candy","Ebmaj7|Ebm6|Dm7|Db07|Cm7|F7|Bb6,Eb7|Bb6",NA,""
"Catch Me","Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|Dm7|A7#9,Dm7","D-","Im7|Im7|Im7|Im7|Im7|Im7|Im7|V7#9,Im7"
"Celia","Bbmaj7|Cm7b5|Dm7|Ebm7,Ab7|Dm7,Dbm7|Cm7,B7|Bbmaj7|Bbmaj7","Bb","Imaj7|IIm7b5|IIIm7|IVm7,#VI/♭VII7|IIIm7,#II/♭IIIm7|IIm7,#I/♭II7|Imaj7|Imaj7"
"Ceora","Abmaj7|Bbm7,Eb7|Abmaj7|Ebm7,Ab7|Dbmaj7|Dm7,G7|Cm7|F7#9",NA,""
"Charleston","Bb|D7|G7|G7|C7|F7|Bb,Db07|Cm7,F7","Bb","I|III7|VI7|VI7|II7|V7|I,#II/♭III07|IIm7,V7"
"Chase, The","Bb6|Bb6|Eb7|Eb7|Bb6|Ebm7,Ab7|Cm7,F7|Bb6",NA,""
"Cheers","Bb6|Eb7|Bb6|Gb7|Dm7,G7|Cm7,F7|Bb6|Cm7,F7",NA,""
"Cheetah","Bbmaj7|Cm7,C#07|Dm7,G7#9|C7,F7|Bb7|Eb,E07|Bb/F,G7|C7,F7",NA,""
"Chelsea Bridge","Bbm/maj7|Abm/maj7|Bbm/maj7,Abm/maj7|Bb7|Ebm7|Ab7|Db6|Db6,C7,B7,",NA,""
"Chicago","Cmaj7,Dm7|Em7,A7|D7|D7,A7b9|Dm7,G7|Dm7,G7|Bb7,A7|Ab7,G7","C","Imaj7,IIm7|IIIm7,VI7|II7|II7,VI7b9|IIm7,V7|IIm7,V7|#VI/♭VII7,VI7|#V/♭VI7,V7"
"Close Your Eyes","Fm7b5|Bb7b9|Fm7b5|Bb7b9|Ebm6,Cm7b5|Fm7b5,Bb7b9|Ebm6|Ebm6",NA,""
"Come Back To Me","Gm7|C7|Am7b5|D7|Gm7|C7|Fmaj7|Am7,D7",NA,""
"Come Sunday","F7|Eb7#11|F7,Gb7|G7|Cm7|F7|Bb,Eb6/Bb|Bb07,Bb6","Bb","V7|IV7#11|V7,#V/♭VI7|VI7|IIm7|V7|I,IV6/I|I07,I6"
"Comes Love","Gm6|Gm6|D7b13|D7b13|Am7b5|D7b9|Gm6|Am7b5,D7b9",NA,""
"Con Alma","Emaj7,G#7/D#|C#m7,B7|Bb7|Ebmaj7,,Ebm7,Ab7|Dbmaj7,F7/C|Bbm7,Ab7|G7|Cmaj7","E","Imaj7,III7/VII|VIm7,V7|#IV/♭V7|VIImaj7,NANA,VIIm7,III7|VImaj7,#I/♭II7/#V/♭VI|#IV/♭Vm7,III7|#II/♭III7|#V/♭VImaj7"
"Confirmation","Cm7|F7|Bbmaj7|Bbmaj7|Ebm7|Ab7|Dbmaj7|Gm7,C7alt","Bb","IIm7|V7|Imaj7|Imaj7|IVm7|#VI/♭VII7|#II/♭IIImaj7|VIm7,II7alt"
"Cool One, The","Bm7|E7|Bm7|E7|Am7|D7|Am7|D7",NA,""
"Copenhagen","Ebmaj7|Ebm6|Bb|G7|C7|F7|Bb|Bb,Bb7","Eb","Imaj7|Im6|V|III7|VI7|II7|V|V,V7"
"Corcovado","D7/A|D7/A|Ab07|Ab07|Gm7|C7|F07,Fmaj7|Fmaj7","F","VI7/III|VI7/III|#II/♭III07|#II/♭III07|IIm7|V7|I07,Imaj7|Imaj7"
"Cotton Tail","Bb6,Gm7|Cm7,F7|Dm7,G7|Cm7,F7|Bb6,Bb7/D|Eb6,E07|Bb6/F,Gm7|F7,Bb6","Bb","I6,VIm7|IIm7,V7|IIIm7,VI7|IIm7,V7|I6,I7/III|IV6,#IV/♭V07|I6/V,VIm7|V7,I6"
"Could It Be You","Bbmaj7|Cm7,F7|Bbmaj7|Gm7,Gbm7,Fm7,Bb7|Ebmaj7|Fm7,Bb7|Ebmaj7|Gm7,C7",NA,""
"Countdown","Em7,F7|Bbmaj7,Db7|Gbmaj7,F7|Bbmaj7,A7|Dmaj7,Bbmaj7|Gbmaj7,Dmaj7|Bbmaj7,Gbmaj7|Dmaj7",NA,""
"Crazy He Calls Me","Bbm7,Eb7|Abmaj7,Fm7|Dm7,G7|C6,A7|Dm7,G7|C6,Am7|Dm7,G7|Gm7,C7",NA,""
"Crazy Rhythm","Cm7|F7|Bbmaj7|Bbmaj7|Bbm7|Eb7|A7#5,D9|G7#5,C9",NA,""
"Crepuscule With Nellie","Bb7|Eb7|Ab7,Db7|Gb7|Cm7,F7b9|Bm7,E7,Bbm7,Eb7|Abadd9|Gb7#11",NA,""
"Cry Me A River","Cm,Cmb6|Cm6,Cm7|Fm7,Bb7|Ebmaj7,G7b9|Gm7b5,C7b9|F9|Fm7,Bb7sus|Eb6,G7b13","C-","Im,Imb6|Im6,Im7|IVm7,#VI/♭VII7|#II/♭IIImaj7,V7b9|Vm7b5,I7b9|IV9|IVm7,#VI/♭VII7sus|#II/♭III6,V7b13"
"Cynthia's In Love","Fm7|Bb13,Bb7b9|Eb6,Abm6|Gm9,Gb07|Fm7,B9#5|Bb7sus,Bb7b9|Eb69|Eb69",NA,""
"Daahoud","Ebm7,Ab7|Dbm7,Gb7|Bmaj7|Fm7,Bb7|Ebm7(Abm7),(Gb6)|B7(F7),Bb7(Emaj7)|Ebmaj7|Ebmaj7","Eb","Im7,IV7|#VI/♭VIIm7,#II/♭III7|#V/♭VImaj7|IIm7,V7|Im7(IVm7),NANA(NANA)|#V/♭VI7(II7),V7(#I/♭IImaj7)|Imaj7|Imaj7"
"Dancing On The Ceiling","Fmaj7|Cm7,F7|Bb6,B07|Fmaj7/C,D7|Gm7|C7|F6|Gm7,C7","F","Imaj7|Vm7,I7|IV6,#IV/♭V07|Imaj7/V,VI7|IIm7|V7|I6|IIm7,V7"
"Darn That Dream","G6,,Bbm7,Eb7|Am7,B7#11|Em,Em/D,A7/C#,Cm7|Bm7b5,E7|Am7,F7|Bm7,Bbm7|Am7,D7|G6,,Am7,D7","G","I6,NANA,#II/♭IIIm7,#V/♭VI7|IIm7,III7#11|VIm,VIm/V,II7/#IV/♭V,IVm7|IIIm7b5,VI7|IIm7,#VI/♭VII7|IIIm7,#II/♭IIIm7|IIm7,V7|I6,NANA,IIm7,V7"
"Dat Dere","Cm7,Cm7/Bb|Am7b5,Abmaj7|Am7b5,D7#9|Dm7b5,G7b9|Cm7,Cm7/Bb|Am7b5,Abmaj7|Dm7b5,G7b13|Cm7(Fm6),G7b13(Cm7)","C-","Im7,Im7/#VI/♭VII|VIm7b5,#V/♭VImaj7|VIm7b5,II7#9|IIm7b5,V7b9|Im7,Im7/#VI/♭VII|VIm7b5,#V/♭VImaj7|IIm7b5,V7b13|Im7(IVm6),V7b13(Im7)"
"Day By Day","Am7|Am7(D7)|Am7(D7)|D7|Gmaj7|C7|Bm7|E9#5","A-","Im7|Im7(IV7)|Im7(IV7)|IV7|#VI/♭VIImaj7|#II/♭III7|IIm7|V9#5"
"Day Dream","Fmaj7,F7/A|Bb7#5,A7b13|Dm7,F7/C|Bbm6,C7b13|Fm7,Fm7/Eb|Db7,C7|Fmaj7|Fmaj7","F","Imaj7,I7/III|IV7#5,III7b13|VIm7,I7/V|IVm6,V7b13|Im7,Im7/#VI/♭VII|#V/♭VI7,V7|Imaj7|Imaj7"
"Day Dreaming","Bbmaj7,Cm7|Dm7,C#07|Cm7,D07|Cm7,F7#9|Bbmaj7,Ebmaj7|D7#11,Ab9|G7b9|Cm7,F7","Bb","Imaj7,IIm7|IIIm7,#II/♭III07|IIm7,III07|IIm7,V7#9|Imaj7,IVmaj7|III7#11,#VI/♭VII9|VI7b9|IIm7,V7"
"Daybreak","Ebmaj7|Bb7|Ebmaj7|C7|Fm7|Bb7|Abmaj7|B7,Bb7","Eb","Imaj7|V7|Imaj7|VI7|IIm7|V7|IVmaj7|#V/♭VI7,V7"
"Days And Nights Waiting","Cm7|F7|Bbmaj7|A7|F#m7|Bm7|Em7,A7|Dmaj7",NA,""
"Days Of Wine And Roses","Fmaj7|Eb7#11|Am7(D7)|D7b13|Gm7|Gm7|Eb7#11|Eb7#11",NA,""
"Dearly Beloved","Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7","D-","Im7|IV7|Im7|IV7|Im7|IV7|Im7|IV7"
"Dedicated To You","Dmaj7|Bm7,E7b9|Em7,A7|Dmaj7,,Gm7,C7|Fmaj7,D7b9|Gm7,C7b9|Cm7|F7#5(F#m7),(B7)",NA,""
"Deed I Do","C6|Gm7,C7|Fmaj7|Bb7|Em7,A7|Dm7,G7|C6|Dm7,G7","C","I6|Vm7,I7|IVmaj7|#VI/♭VII7|IIIm7,VI7|IIm7,V7|I6|IIm7,V7"
"Dewey Square","Ebmaj7|Abm7|Eb7,Db7|C7|F7|Fm7,Bb7|Ebmaj7,C7|Fm7,Bb7","Eb","Imaj7|IVm7|I7,#VI/♭VII7|VI7|II7|IIm7,V7|Imaj7,VI7|IIm7,V7"
"Dexterity","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Ebmaj7,Ab7|Cm7,F7|Bb6","Bb","Imaj7,VI7|IIm7,V7|IIIm7,VI7|IIm7,V7|Vm7,I7|IVmaj7,#VI/♭VII7|IIm7,V7|I6"
"Diane","Fm7|Bb7|Ebmaj7,Ebmaj7/D|Cm7|Fm7|Bb7|Ebmaj7,Ab7|Gm7,C7",NA,""
"Dig","F7|F7|F7|F7|Bb7|Bb7|Bb7|Bb7",NA,""
"Dinah","Em|Em/D#|Em/D|A7/C#|Em7|A7|Am7|D7",NA,""
"Dindi","Ebmaj7|Dbmaj7|Ebmaj7|Dbmaj7|Cmaj7|Am9|Dm9|G13",NA,""
"Diverse","Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9",NA,""
"Do It Again","F6|F6|F6|F6|F6,Faug|F,Dm|G7|G7",NA,""
"Do Nothin' Til You Hear From Me","Gbmaj7|Gbmaj7|Gbmaj7|Gb7|Bbmaj7|Dm7,G7|C7|F7",NA,""
"Do You Know What It Means?","Cmaj7,G7#5|Cmaj7,Am7|Em7,Am7|D7|F6,F#07|C6/G,A7b9|Dm7,G7|C6","C","Imaj7,V7#5|Imaj7,VIm7|IIIm7,VIm7|II7|IV6,#IV/♭V07|I6/V,VI7b9|IIm7,V7|I6"
"Dolores","Dm7|Fm7,Bb7|Ebmaj7|Am7,D7|Gm7|Am7b5,D7#9|Dbmaj7|Dbmaj7",NA,""
"Don't Be That Way","Db6,Bbm7|Ebm7,Ab7#5|Db6,Bbm7|Ebm7,Ab7#5|Fm7,Bb7|Ebm7,Ab7#5|Db6,Bbm7|Ebm7,Ab7#5",NA,""
"Don't Blame Me","Cmaj7,Em7b5|A7b13|Dm7b5,G13b9|Cmaj7,Am7|Dm7b5,G13b9|Em7b5,A7b13|Dm7,G7|C6,G7","C","Imaj7,IIIm7b5|VI7b13|IIm7b5,V13b9|Imaj7,VIm7|IIm7b5,V13b9|IIIm7b5,VI7b13|IIm7,V7|I6,V7"
"Don't Explain","Dm|Em7b5,A7b9|Dm|Em7b5,A7b9|Eb7#11|Db7#11,,Gm7,C7|Fmaj7|Em7b5,A7b9",NA,""
"Don't Fence Me In","F,Fmaj7|F6,Fmaj7|F6,D7b13|Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|F6","F","I,Imaj7|I6,Imaj7|I6,VI7b13|IIm7,V7|IIm7,V7|IIm7,V7|IIm7,V7|I6"
"Don't Get Around Much Anymore","C6|C6|A7|A7|D7|G7|C6|G7","C","I6|I6|VI7|VI7|II7|V7|I6|V7"
"Don't Go To Strangers","Bbmaj7|Eb7#11|Bbmaj7|Dm7,G7b9|Cm7b5|F7b9|Bb6,F7|Bb6","Bb","Imaj7|IV7#11|Imaj7|IIIm7,VI7b9|IIm7b5|V7b9|I6,V7|I6"
"Don't Know Why","Gm7|C7|F7|F7|Gm7|C7|F7,F7/Eb|Bb/D,F7/C",NA,""
"Don't Misunderstand","Fmaj7|E7sus,E7alt|Ebmaj7|D7sus,D7b9|G7|C7|F6|Gm7,C7","F","Imaj7|VII7sus,VII7alt|#VI/♭VIImaj7|VI7sus,VI7b9|II7|V7|I6|IIm7,V7"
"Don't Take Your Love From Me","Cmaj7,Dm7|Em7,Eb07|G7/D,G7|Dm7,G7|Dm7|G7|Cmaj7|Cmaj7","C","Imaj7,IIm7|IIIm7,#II/♭III07|V7/II,V7|IIm7,V7|IIm7|V7|Imaj7|Imaj7"
"Down For Double","Bb6,G7|C7,F7|Bb6,G7|C7,F7|Bb6,G7|C7,F7|Bb6,(Cm7)|Bb6(Db07),(Bb6)","Bb","I6,VI7|II7,V7|I6,VI7|II7,V7|I6,VI7|II7,V7|I6,NANA(NANA)|I6(#II/♭III07),NANA(NANA)"
"Dream","Bb|Bb|Em7|A7|Bb6|Bb6|Dm7|G7",NA,""
"Dream A Little Dream Of Me","G6|Eb7,D7|G6|E7b9|Am7|Cm6,F9|Gmaj7,,Eb7,D7|G6,D7","G","I6|#V/♭VI7,V7|I6|VI7b9|IIm7|IVm6,#VI/♭VII9|Imaj7,NANA,#V/♭VI7,V7|I6,V7"
"Dreamsville","Cmaj7|Gm7/C|Cmaj7|Gm7,F#7|Cm7/F,F7|Dm7,Ebm7|Dm7,Db7#11|Cmaj7","C","Imaj7|Vm7/I|Imaj7|Vm7,#IV/♭V7|Im7/IV,IV7|IIm7,#II/♭IIIm7|IIm7,#I/♭II7#11|Imaj7"
"Driftin'","Eb7,G7|Ab7,G7|Cm7,Bbm7|Am7b5,Ab7|Gm7|C7|Fm7,Bb7|Eb,Bb7","Eb","I7,III7|IV7,III7|VIm7,Vm7|#IV/♭Vm7b5,IV7|IIIm7|VI7|IIm7,V7|I,V7"
"Duke, The","Cmaj7,Fmaj7|Em7/G,Am7,B7,|Em7,Am7|Dm7,,Fm7,Bb7|Ebmaj7,Dbmaj7|Cm7,Bm7|Bbm7,Eb7,Abmaj7,|D7,Db7,Cmaj7,","C","Imaj7,IVmaj7|IIIm7/V,VIm7,VII7,NANA|IIIm7,VIm7|IIm7,NANA,IVm7,#VI/♭VII7|#II/♭IIImaj7,#I/♭IImaj7|Im7,VIIm7|#VI/♭VIIm7,#II/♭III7,#V/♭VImaj7,NANA|II7,#I/♭II7,Imaj7,NANA"
"Early Autumn","Dm7,G7|Cmaj7/E,Eb07|Dm7,G7|Cmaj7|Cm7,F7|Bbmaj7,Eb7|D,Db7,C7,B7|Bb7,A,Ab7,G7",NA,""
"East Of The Sun","Am7|D7|F#m7b5,B7b13|Em7|Em7|A7|Am7|D7",NA,""
"East St. Louis Toodle-oo","Cm,Cm/Eb|Fm6/D,Fm6|Cm/Eb,Cm/G|Fm6,Fm6/Ab|Cm/G,Cm/Eb|Fm6,G7b9/D|Cm,Ab7|G7b9","C-","Im,Im/#II/♭III|IVm6/II,IVm6|Im/#II/♭III,Im/V|IVm6,IVm6/#V/♭VI|Im/V,Im/#II/♭III|IVm6,V7b9/II|Im,#V/♭VI7|V7b9"
"Easter Parade","Bbmaj7,F7|Bb7|Ebmaj7|Cm7,C#07|Bbmaj7,F7|Bbmaj7,Gm7|C7,F7|Bb6,,Cm7,F7",NA,""
"Easy Does It","C6,Am7|Dm7,G7|C6,Am7|Dm7,G7|C6,Am7|Dm7,G7|C6,Eb07|Dm7,C7","C","I6,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,#II/♭III07|IIm7,I7"
"Easy Living","Fmaj7,F#07|Gm7,G#07|Fmaj7/A,,Cm7,F7|Bbmaj7,Eb7|Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7","F","Imaj7,#I/♭II07|IIm7,#II/♭III07|Imaj7/III,NANA,Vm7,I7|IVmaj7,#VI/♭VII7|Imaj7,VIm7|IIm7,V7|Imaj7,VIm7|IIm7,V7"
"Easy Street","Ebmaj7,C7|Fm7,G7b13|Cm7,,Bbm7,Eb7|Abm7,Bb7|Gm7,C7|B7,Bb7#5|Ebmaj7,Ab7|Eb6,,Fm7,Bb7",NA,""
"Easy To Love","Am7|Bm7b5,E7b9|Am7|D7|Gmaj7|C7|Bm7|E7b9",NA,""
"Eclypso","Fm7,Bb7|Ebmaj7,Cm7|Fm7,Bb7|Ebmaj7,Gm7|Fm7,Bb7|Gm7,Cm7|Fm7,Bb7|Ebmaj7,C7","Eb","IIm7,V7|Imaj7,VIm7|IIm7,V7|Imaj7,IIIm7|IIm7,V7|IIIm7,VIm7|IIm7,V7|Imaj7,VI7"
"Eiderdown","B7alt|B7alt|Em7|Em7|Cm7|Cm7|Gm7|Gm7",NA,""
"El Cajon","D7,(Ab7)|G7|C7|C7|Cm7,(Gb7)|F7|Bb7sus|Bb7",NA,""
"Elora","Cm7|F7|Bbmaj7,Ebmaj7|Dm7,Db7|Cm7,G7b9|Cm7,F7|Bbmaj7|Dm7b5,Db7","Bb","IIm7|V7|Imaj7,IVmaj7|IIIm7,#II/♭III7|IIm7,VI7b9|IIm7,V7|Imaj7|IIIm7b5,#II/♭III7"
"Embraceable You","Gmaj7|Bb07|Am7|D7|Am7|Cm6|Gmaj7|F#m7b5,B7b9",NA,""
"End Of A Love Affair, The","Gm7,C7|Fmaj7|Fm7,Bb7|Ebmaj7|Ebm7,Ab7|Ebm7,Ab7|Dbmaj7,,Gm7,C7|Fmaj7",NA,""
"Epistrophy","Db7,D7|Db7,D7|Db7,D7|Db7,D7|Eb7,E7|Eb7,E7|Eb7,E7|Eb7,E7",NA,""
"Eronel","Gmaj7,Gmaj7/A|Bm7,E7b5|Bbm/maj7|Bbm/maj7,Eb7#11|Am7|Cm7,F7|Am7,Ab7|Gmaj7",NA,""
"Eternal Triangle","Bbmaj7,Gm7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bbm7|Eb7,Ab7|Dm7,G7|Cm7,F7,Bbmaj7,",NA,""
"Every Time We Say Goodbye","Ebmaj7,Fm7|Gm7,Abmaj7|Gm7,C7|Fm7,Bb7|Gm7,Gb7|Bmaj7,Emaj7#11|Bbm7,Eb7|Abm7,Db7",NA,""
"Everything Happens To Me","Cm7,F7|Dm7,Db07|Cm7,F7|Dm7b5,G7|B07,Cm7,Ebm7,Ab7|Dm7,G7|Cm7,F7|Bb6",NA,""
"Everything I Have Is Yours","Cmaj7|Ebm7,Ab7|Dm7,G7|Dm7,G7#5|Cmaj7|Ebm7,Ab7|Dm7,G7|Bm7b5,E7b9",NA,""
"Evidence","Ebmaj7|Gm7,C7b5b9|Fm7|Bb7b5b9|A7|Abm7,Db7|Fm7|F7#9#11",NA,""
"Exactly Like You","C6|C6|D7|D7|G7|G7|C6|Dm7,G7","C","I6|I6|II7|II7|V7|V7|I6|IIm7,V7"
"Fee-Fi-Fo-Fum","Eb7,D7#9|Gm7,Abmaj7|Bmaj7,D7|Dm7,G7|Eb7,D7#9|Gm7,Abmaj7|C7(Gb7),F7|Bb7",NA,""
"Feel Like Makin' Love","Fm7|Bb7sus|Ebmaj7|Db7,C7|Fm7|Bb7sus|Ebmaj7|A7#11",NA,""
"Flamingo","Fmaj7,Dm7|Gm7,C7|Fm7|Bb7|Db7|Gm7,C7|Fmaj7,D7|Gm7,C7","F","Imaj7,VIm7|IIm7,V7|Im7|IV7|#V/♭VI7|IIm7,V7|Imaj7,VI7|IIm7,V7"
"Flat Foot Floogee","F6,Dm7|Gm7,C7|F6,Dm7|Gm7,C7|F6,F7/A|Bb,B07|F/C,C7|F6,C7","F","I6,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,I7/III|IV,#IV/♭V07|I/V,V7|I6,V7"
"Flintstones","Bbmaj7,G7|Cm7,F7|Bbmaj7,G7|Cm7,F7|Bb7|Eb7,Ab7|Bb6|Cm7,F7","Bb","Imaj7,VI7|IIm7,V7|Imaj7,VI7|IIm7,V7|I7|IV7,#VI/♭VII7|I6|IIm7,V7"
"Flying Home","Eb,Eb/Db|Cm7,,B7,Bb7|Eb,Eb/Db|Cm7,,B7,Bb7|Eb,Eb/Db|Cm7,,B7,Bb7|Eb6|Bb7",NA,""
"Fools Rush In","Dm7|G7|Cmaj7|Am7|Dm7|G7|Cmaj7|A7b9","C","IIm7|V7|Imaj7|VIm7|IIm7|V7|Imaj7|VI7b9"
"For Heaven's Sake","Bbm7,Eb7|Am7,Dm7|Gm7b5,C7b9|Fmaj7,F7|Bbm7,Eb7|Am7,D7|Gm7,C7sus|F6",NA,""
"For Once In My Life","Gm,Gm/F#|Fm7,Bb7#5|Eb6,Gm7|Cm7,F7|Dm7|Gm7|C7|F7#5",NA,""
"For Sentimental Reasons","Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|F6,Dm7|Gm7,C7|F6,D7|Gm7,C7","F","Imaj7,VIm7|IIm7,V7|Imaj7,VIm7|IIm7,V7|I6,VIm7|IIm7,V7|I6,VI7|IIm7,V7"
"Forever Sonny","Gm7|Em7b5,Eb7|Dm7,Gm7|Cm7,F7#5|Bb7|Eb7,Ab7|Cm7,F7|Bbmaj7,D7#9",NA,""
"Four","Ebmaj7|Ebmaj7|Ebm7|Ab7|Fm7|Fm7|Abm7|Db7",NA,""
"Four Brothers","Bb7|Bbm7,Eb7#5|Abmaj7|F7|Bbm7|Cm7,F7|Bbm7,Eb7|Ab6",NA,""
"Four In One","Eb6|G7|C7|C7|F7|Bb7|Eb6|Eb6(Fm7),(Bb7)",NA,""
"Fran Dance","Bb7|Ab7|G7sus|C7|F7|F7|Cm7,F7|Bb6",NA,""
"Frenesi","Bbm7,Eb7|Bbm7,Eb7|Bbm7,Eb7|Bbm7,Eb7|Abmaj7|Bbm7,Eb7|Abmaj7|Abmaj7",NA,""
"Frim Fram Sauce, The","Bb6|Bb6|C7|C7|Eb6,E07|Bb/F,G7|C7,F7|Bb6,F7",NA,""
"Gallop's Gallop","D7sus,D7|Bbm7,Eb7|Abmaj7,Bb7|Bbm7,Eb7|Bbm7b5,Eb7|Abmaj7,Bbm7b5|Bm7,E7|Bbm7,Eb7",NA,""
"Gee Baby, Ain't I Good To You","C7,Ab7|G7,C7|F7,Bb7|Eb6,G7|C7,Ab7|G7,C7|F7,Bb7|Eb6,Eb7",NA,""
"Georgia On My Mind","Fmaj7|Em7b5,A7b9|Dm,Dm/C|G/B,,Bbm7,Eb7|Am7,D7|Gm7,C7|F6|Gm7,C7",NA,""
"Get Happy","F6,Dm7|Gm7,C7|Am7,D7|Gm7,C7|F6,F7/A|Bb6,B07|F6/C,C7|F6,F7",NA,""
"Give Me The Simple Life","Fm7,Bb7|Gm7,C7|Dm7b5,G7b13|Cm7,Cm7/Bb|Am7b5,Abm6|Eb6/G,Gb07|Fm7,Bb7|Eb6,C7",NA,""
"Glad To Be Unhappy","Gm7|Eb7|C7|C7|Gm7|Eb7|C7|F6,F7",NA,""
"Glory Of Love, The","Gmaj7,Em7|Am7,D7|Gmaj7,G7|Cmaj7,Cm6|Bm7,Em7|Am7,D7|G6|Am7,D7",NA,""
"God Bless The Child","Eb,Eb7,Ab6,|Eb,Eb7,Ab6,|Bbm7,Eb7|Bbm7,Eb7|Abmaj7|Abm6|Gm7,C7b9|Fm7,Bb7",NA,""
"Godchild","Abmaj7|Bbm7,B07|Ebm7,Ab7|Dbm7,Gb7|Cm7,Bm7|Bbm7,Eb7|Abmaj7|Bbm7,Eb7",NA,""
"Golden Earring","Cm,G7/D|Cm/Eb,Cm7|Am7b5,Ab7|Dm7b5,G7b9|Cm,D7|G7,Ab7|G7b9|Cm",NA,""
"Good Bait","Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bbmaj7,Bb7|Ebmaj7,Ab7|Dm,Db7,Cm,B7|Bb6,F7alt",NA,""
"Good Morning Heartache","Cm,Cmb6|Cm6,Cm7|Fmaj7,Bbmaj7|Am7b5,D7b9|Gm7,Bbm/maj7|Am7,Abm7|Gm7,C7#9|F6",NA,""
"Green Chimneys","Abm|Abm|Abm|Abm|Abm|Abm|Abm|Abm",NA,""
"Hackensack","F6|Bb7|F6|Am7,D7|Gm7|C7|F6|C7","F","I6|IV7|I6|IIIm7,VI7|IIm7|V7|I6|V7"
"Hallucinations","F6,Bb7|A7,D7|G7,C7|F6,F7|Bb7,B07|F7/C,D7|Gm7,C7|F6",NA,""
"Happiness Is A Thing Called Joe","F6,Gm7|Am7,Gm7|F6,Gm7|Am7,Gm7|F6,Gm7|Am7,D7|Gm7|C7",NA,""
"Happy Little Sunbeam","Gm7|C7|F6|F6,Abm7|Gm7|C7|Cm7|F7",NA,""
"Haunted Heart","Eb6,Cm7|Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|Eb6,Abmaj7|Gm7,C7b13|Fm7|Bb7",NA,""
"Have You Met Miss Jones?","Fmaj7,Bb7|Am7,D7|Gm7|C7|Am7,D7|Gm7,C7|F6|Gm7,C7",NA,""
"He's A Tramp","Am7,D7|Am7,D7|Am7,D7|Am7,D7|Gmaj7,Gb7|F7,E7|A7,D7|G6",NA,""
"Heat Wave","Gmaj7,Am7|Bm7,Am7|Gmaj7,Am7|Bm7,Am7|Gmaj7,G7|Cmaj7,F7|Em7,A7|D7,G6,G6,",NA,""
"Heaven","Bbmaj7|Bbmaj7|G7b5|G7b5|C7#11|C7#11|F7#5|F7#5",NA,""
"Hello","Am7,,Bm7,E7|Am7,D7|Gmaj7,C7|Bm7,Em7|Am7,Bm7|Am7,D7|Gmaj7,Cm6|Bm7,E7",NA,""
